"area label","area long label","area","Total expenditure on arts, tourism, & the historic environment per head"
"Stockton-on-Tees","Stockton-on-Tees (Unitary)","E06000004","15"
"Stoke-on-Trent","Stoke-on-Trent (Unitary)","E06000021","4"
"Stratford-on-Avon","Stratford-on-Avon (District)","E07000221","5"
"Stroud","Stroud (District)","E07000082","1"
"Suffolk","Suffolk (County)","E10000029","1"
"Sunderland","Sunderland (Metropolitan borough)","E08000024","14"
"Surrey","Surrey (County)","E10000030","2"
"Surrey Heath","Surrey Heath (District)","E07000214","0"
"Sutton","Sutton (London borough)","E09000029","1"
"Swale","Swale (District)","E07000113","3"
"Swindon","Swindon (Unitary)","E06000030","10"
"Tameside","Tameside (Metropolitan borough)","E08000008","2"
"Tamworth","Tamworth (District)","E07000199","34"
"Tandridge","Tandridge (District)","E07000215","0"
"Teignbridge","Teignbridge (District)","E07000045","0"
"Telford and Wrekin","Telford and Wrekin (Unitary)","E06000020","17"
"Tendring","Tendring (District)","E07000076","14"
"Test Valley","Test Valley (District)","E07000093","13"
"Tewkesbury","Tewkesbury (District)","E07000083","3"
"Thanet","Thanet (District)","E07000114","9"
"Three Rivers","Three Rivers (District)","E07000102","11"
"Thurrock","Thurrock (Unitary)","E06000034","0"
"Tonbridge and Malling","Tonbridge and Malling (District)","E07000115","3"
"Torbay","Torbay (Unitary)","E06000027","9"
"Torridge","Torridge (District)","E07000046","1"
"Tower Hamlets","Tower Hamlets (London borough)","E09000030","6"
"Trafford","Trafford (Metropolitan borough)","E08000009","8"
"Tunbridge Wells","Tunbridge Wells (District)","E07000116","35"
"Uttlesford","Uttlesford (District)","E07000077","3"
"Vale of White Horse","Vale of White Horse (District)","E07000180","1"
"Wakefield","Wakefield (Metropolitan borough)","E08000036","13"
"Walsall","Walsall (Metropolitan borough)","E08000030","14"
"Waltham Forest","Waltham Forest (London borough)","E09000031","8"
"Wandsworth","Wandsworth (London borough)","E09000032","8"
"Warrington","Warrington (Unitary)","E06000007","0"
"Warwick","Warwick (District)","E07000222","16"
"Warwickshire","Warwickshire (County)","E10000031","2"
"Watford","Watford (District)","E07000103","17"
"Waverley","Waverley (District)","E07000216","1"
"Wealden","Wealden (District)","E07000065","1"
"Welwyn Hatfield","Welwyn Hatfield (District)","E07000241","24"
"West Berkshire","West Berkshire (Unitary)","E06000037","8"
"West Devon","West Devon (District)","E07000047","0"
"West Lancashire","West Lancashire (District)","E07000127","1"
"West Lindsey","West Lindsey (District)","E07000142","9"
"West Northamptonshire","West Northamptonshire (Unitary)","E06000062","3"
"West Oxfordshire","West Oxfordshire (District)","E07000181","3"
"West Suffolk","West Suffolk (District)","E07000245","24"
"West Sussex","West Sussex (County)","E10000032","0"
"Westminster","Westminster (London borough)","E09000033","12"
"Westmorland and Furness","Westmorland and Furness (Unitary)","E06000064","Missing"
"Wigan","Wigan (Metropolitan borough)","E08000010","8"
"Wiltshire","Wiltshire (Unitary)","E06000054","5"
"Winchester","Winchester (District)","E07000094","6"
"Windsor and Maidenhead","Windsor and Maidenhead (Unitary)","E06000040","7"
"Wirral","Wirral (Metropolitan borough)","E08000015","21"
"Woking","Woking (District)","E07000217","Missing"
"Wokingham","Wokingham (Unitary)","E06000041","0"
"Wolverhampton","Wolverhampton (Metropolitan borough)","E08000031","12"
"Worcester","Worcester (District)","E07000237","7"
"Worcestershire","Worcestershire (County)","E10000034","6"
"Worthing","Worthing (District)","E07000229","30"
"Wychavon","Wychavon (District)","E07000238","7"
"Wyre","Wyre (District)","E07000128","15"
"Wyre Forest","Wyre Forest (District)","E07000239","1"
"York","York (Unitary)","E06000014","1"
