"Title","Trade in Goods: Works of art (896): EU: Imports: BOP: CVM: SA"
"CDID","SLPM"
"Source dataset ID","MRET"
"PreUnit",""
"Unit",""
"Release date","11-04-2025"
"Next release","15 May 2025"
"Important notes",
"2021 JUL","22"
"2021 AUG","4"
"2021 SEP","12"
"2021 OCT","31"
"2021 NOV","23"
"2021 DEC","2"
"2022 JAN","85"
"2022 FEB","50"
"2022 MAR","36"
"2022 APR","57"
"2022 MAY","61"
"2022 JUN","86"
"2022 JUL","74"
"2022 AUG","41"
"2022 SEP","84"
"2022 OCT","60"
"2022 NOV","56"
"2022 DEC","50"
"2023 JAN","48"
"2023 FEB","74"
"2023 MAR","136"
"2023 APR","71"
"2023 MAY","76"
"2023 JUN","61"
"2023 JUL","73"
"2023 AUG","41"
"2023 SEP","43"
"2023 OCT","53"
"2023 NOV","47"
"2023 DEC","36"
"2024 JAN","43"
"2024 FEB","54"
"2024 MAR","76"
"2024 APR","60"
"2024 MAY","58"
"2024 JUN","95"
"2024 JUL","117"
"2024 AUG","40"
"2024 SEP","91"
"2024 OCT","90"
"2024 NOV","98"
"2024 DEC","51"
"2025 JAN","56"
"2025 FEB","100"
