UPRN,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE
22241735,527087.0,104537.0,50.8264257,-0.1969167
22241736,527084.0,104537.0,50.8264263,-0.1969592
22241737,527081.0,104538.0,50.826436,-0.1970015
22241739,527075.0,104539.0,50.8264463,-0.1970863
22241742,527064.0,104540.0,50.8264577,-0.197242
22241743,527061.0,104540.0,50.8264583,-0.1972846
22241744,527059.0,104540.0,50.8264588,-0.197313
22241745,527056.0,104540.0,50.8264594,-0.1973555
22241746,527052.0,104541.0,50.8264693,-0.197412
22241747,527049.0,104541.0,50.82647,-0.1974545
22241749,527128.0,104533.0,50.8263807,-0.1963362
22241751,527121.0,104533.0,50.8263823,-0.1964356
22241752,527118.0,104534.0,50.8263919,-0.1964778
22241753,527115.0,104534.0,50.8263926,-0.1965204
22241754,527112.0,104534.0,50.8263932,-0.1965629
22241755,527109.0,104535.0,50.8264029,-0.1966052
22241756,527106.0,104535.0,50.8264035,-0.1966477
22241757,527103.0,104535.0,50.8264042,-0.1966903
22241758,527100.0,104536.0,50.8264138,-0.1967325
22241760,527093.0,104536.0,50.8264154,-0.1968319
22241761,527133.0,104532.0,50.8263707,-0.1962656
22241762,527137.0,104532.0,50.8263698,-0.1962089
22241763,527139.0,104532.0,50.8263693,-0.1961805
22241764,527141.0,104531.0,50.8263599,-0.1961524
22241765,527144.0,104531.0,50.8263592,-0.1961099
22241778,527152.0,104530.0,50.8263485,-0.1959967
22241780,527185.0,104528.0,50.8263233,-0.1955291
